title,description,servings,ingredients,instructions,nutrition
Chicken Handi,Chicken Handi from Indian - Chicken,1,1.2 kg Chicken; 5 thinly sliced Onion; 2 finely chopped Tomatoes; 8 cloves chopped Garlic; 1 tbsp Ginger paste; ¼ cup Vegetable oil; 2 tsp Cumin seeds; 3 tsp Coriander seeds; 1 tsp Turmeric powder; 1 tsp Chilli powder; 2 Green chilli; 1 cup Yogurt; ¾ cup Cream; 3 tsp Dried fenugreek; 1 tsp Garam masala; To taste Salt,"Take a large pot or wok, big enough to cook all the chicken, and heat the oil in it. Once the oil is hot, add sliced onion and fry them until deep golden brown. Then take them out on a plate and set aside.
To the same pot, add the chopped garlic and sauté for a minute. Then add the chopped tomatoes and cook until tomatoes turn soft. This would take about 5 minutes.
Then return the fried onion to the pot and stir. Add ginger paste and sauté well.
Now add the cumin seeds, half of the coriander seeds and chopped green chillies. Give them a quick stir.
Next goes in the spices – turmeric powder and red chilli powder. Sauté the spices well for couple of minutes.
Add the chicken pieces to the wok, season it with salt to taste and cook the chicken covered on medium-low heat until the chicken is almost cooked through. This would take about 15 minutes. Slowly sautéing the chicken will enhance the flavor, so do not expedite this step by putting it on high heat.
When the oil separates from the spices, add the beaten yogurt keeping the heat on lowest so that the yogurt doesn’t split. Sprinkle the remaining coriander seeds and add half of the dried fenugreek leaves. Mix well.
Finally add the cream and give a final mix to combine everything well.
Sprinkle the remaining kasuri methi and garam masala and serve the chicken handi hot with naan or rotis. Enjoy!",296
Chicken Congee,Chicken Congee from Chinese - Chicken,1,8 oz Chicken; pinch Salt; pinch Pepper; 1 tsp Ginger Cordial; 1 tsp Ginger; 1 tbs Spring Onions; 1/2 cup Rice; 8 cups Water; 2 oz Coriander,"STEP 1 - MARINATING THE CHICKEN
In a bowl, add chicken, salt, white pepper, ginger juice and then mix it together well.
Set the chicken aside.
STEP 2 - RINSE THE WHITE RICE
Rinse the rice in a metal bowl or pot a couple times and then drain the water.
STEP 2 - BOILING THE WHITE RICE
Next add 8 cups of water and then set the stove on high heat until it is boiling. Once rice porridge starts to boil, set the stove on low heat and then stir it once every 8-10 minutes for around 20-25 minutes.
After 25 minutes, this is optional but you can add a little bit more water to make rice porridge to make it less thick or to your preference.
Next add the marinated chicken to the rice porridge and leave the stove on low heat for another 10 minutes.
After an additional 10 minutes add the green onions, sliced ginger, 1 pinch of salt, 1 pinch of white pepper and stir for 10 seconds.
Serve the rice porridge in a bowl
Optional: add Coriander on top of the rice porridge.",762
Chicken Karaage,Chicken Karaage from Japanese - Chicken,1,450 grams Boneless skin Chicken; 1 tablespoon Ginger; 1 clove Garlic; 2 tablespoons Soy sauce; 1 tablespoon Sake; 2 teaspoon Granulated sugar; 1/3 cup Potato starch; 1/3 cup Vegetable oil; 1/3 cup Lemon,"Add the ginger, garlic, soy sauce, sake and sugar to a bowl and whisk to combine. Add the chicken, then stir to coat evenly. Cover and refrigerate for at least 1 hour.

Add 1 inch of vegetable oil to a heavy bottomed pot and heat until the oil reaches 360 degrees F. Line a wire rack with 2 sheets of paper towels and get your tongs out. Put the potato starch in a bowl

Add a handful of chicken to the potato starch and toss to coat each piece evenly.

Fry the karaage in batches until the exterior is a medium brown and the chicken is cooked through. Transfer the fried chicken to the paper towel lined rack. If you want the karaage to stay crispy longer, you can fry the chicken a second time, until it's a darker color after it's cooled off once. Serve with lemon wedges.",733
Chicken Marengo,Chicken Marengo from French - Chicken,1,1 tbs Olive Oil; 300g Mushrooms; 4 Chicken Legs; 500g Passata; 1 Chicken Stock Cube; 100g Black Olives; Chopped Parsley,"Heat the oil in a large flameproof casserole dish and stir-fry the mushrooms until they start to soften. Add the chicken legs and cook briefly on each side to colour them a little.
Pour in the passata, crumble in the stock cube and stir in the olives. Season with black pepper – you shouldn’t need salt. Cover and simmer for 40 mins until the chicken is tender. Sprinkle with parsley and serve with pasta and a salad, or mash and green veg, if you like.",287
Tandoori chicken,Tandoori chicken from Indian - Chicken,1,2 Juice lemons; 4 tsp paprika; 2 finely chopped red onions; 16 skinnless chicken thighs; For brushing vegetable oil; 300ml Greek yogurt; large piece ginger; 4 garlic clove; ¾ tsp garam masala; ¾ tsp ground cumin; ½ tsp chilli powder; ¼ tsp turmeric,"Mix the lemon juice with the paprika and red onions in a large shallow dish. Slash each chicken thigh three times, then turn them in the juice and set aside for 10 mins.
Mix all of the marinade ingredients together and pour over the chicken. Give everything a good mix, then cover and chill for at least 1 hr. This can be done up to a day in advance.
Heat the grill. Lift the chicken pieces onto a rack over a baking tray. Brush over a little oil and grill for 8 mins on each side or until lightly charred and completely cooked through.",17
Chicken Couscous,Chicken Couscous from Moroccan - Chicken,1,1 tbsp Olive Oil; 1 chopped Onion; 200g Chicken Breast; pinch Ginger; 2 tblsp Harissa Spice; 10 Dried Apricots; 220g Chickpeas; 200g Couscous; 200ml Chicken Stock; Handful Coriander,"Heat the olive oil in a large frying pan and cook the onion for 1-2 mins just until softened. Add the chicken and fry for 7-10 mins until cooked through and the onions have turned golden. Grate over the ginger, stir through the harissa to coat everything and cook for 1 min more.

Tip in the apricots, chickpeas and couscous, then pour over the stock and stir once. Cover with a lid or tightly cover the pan with foil and leave for about 5 mins until the couscous has soaked up all the stock and is soft. Fluff up the couscous with a fork and scatter over the coriander to serve. Serve with extra harissa, if you like.",297
Kung Pao Chicken,Kung Pao Chicken from Chinese - Chicken,1,2 tbs Sake; 2 tbs Soy Sauce; 2 tbs Sesame Seed Oil; 2 tbs Corn Flour; 2 tbs Water; 500g Chicken; 1 tbs Chilli Powder; 1 tsp Rice Vinegar; 1 tbs Brown Sugar; 4 Chopped Spring Onions; 6 cloves Garlic Clove; 220g Water Chestnut; 100g Peanuts,"Combine the sake or rice wine, soy sauce, sesame oil and cornflour dissolved in water. Divide mixture in half.
In a glass dish or bowl, combine half of the sake mixture with the chicken pieces and toss to coat. Cover dish and place in refrigerator for about 30 minutes.
In a medium frying pan, combine remaining sake mixture, chillies, vinegar and sugar. Mix together and add spring onion, garlic, water chestnuts and peanuts. Heat sauce slowly over medium heat until aromatic.
Meanwhile, remove chicken from marinade and sauté in a large frying pan until juices run clear. When sauce is aromatic, add sautéed chicken and let simmer together until sauce thickens.",837
Chicken Basquaise,Chicken Basquaise from French - Chicken,1,1.5kg Chicken; 25g Butter; 6 tblsp Olive Oil; 2 sliced Red Onions; 3 Large Red Pepper; 130g Chorizo; 8 Sun-Dried Tomatoes; 6 cloves sliced Garlic; 300g Basmati Rice; drizzle Tomato Puree; ½ tsp Paprika; 4 Bay Leaves; Handful Thyme; 350ml Chicken Stock; 180g Dry White Wine; 2 Lemons; 100g Black Olives; to serve Salt; to serve Pepper,"Preheat the oven to 180°C/Gas mark 4. Have the chicken joints ready to cook. Heat the butter and 3 tbsp olive oil in a flameproof casserole or large frying pan. Brown the chicken pieces in batches on both sides, seasoning them with salt and pepper as you go. Don't crowd the pan - fry the chicken in small batches, removing the pieces to kitchen paper as they are done.

Add a little more olive oil to the casserole and fry the onions over a medium heat for 10 minutes, stirring frequently, until softened but not browned. Add the rest of the oil, then the peppers and cook for another 5 minutes.

Add the chorizo, sun-dried tomatoes and garlic and cook for 2-3 minutes. Add the rice, stirring to ensure it is well coated in the oil. Stir in the tomato paste, paprika, bay leaves and chopped thyme. Pour in the stock and wine. When the liquid starts to bubble, turn the heat down to a gentle simmer. Press the rice down into the liquid if it isn't already submerged and place the chicken on top. Add the lemon wedges and olives around the chicken.

Cover and cook in the oven for 50 minutes. The rice should be cooked but still have some bite, and the chicken should have juices that run clear when pierced in the thickest part with a knife. If not, cook for another 5 minutes and check again.",910
Chicken Parmentier,Chicken Parmentier from French - Chicken,1,1.5kg Potatoes; 30g Butter; 5 tblsp Double Cream; 2 Egg Yolks; 30g Butter; 7 Shallots; 3 chopped Carrots; 2 sticks Celery; 1 finely chopped Garlic Clove; 4 tbsp White Wine; 1 tbls Tomato Puree; 400g Tinned Tomatos; 350ml Chicken Stock; 600g Chicken; 16 Black Olives; 2 tbs Parsley; 50g Gruyere cheese,"For the topping, boil the potatoes in salted water until tender. Drain and push through a potato ricer, or mash thoroughly. Stir in the butter, cream and egg yolks. Season and set aside.
For the filling, melt the butter in a large pan. Add the shallots, carrots and celery and gently fry until soft, then add the garlic. Pour in the wine and cook for 1 minute. Stir in the tomato purée, chopped tomatoes and stock and cook for 10–15 minutes, until thickened. Add the shredded chicken, olives and parsley. Season to taste with salt and pepper.
Preheat the oven to 180C/160C Fan/Gas 4.
Put the filling in a 20x30cm/8x12in ovenproof dish and top with the mashed potato. Grate over the Gruyère. Bake for 30–35 minutes, until piping hot and the potato is golden-brown.",206
Brown Stew Chicken,Brown Stew Chicken from Jamaican - Chicken,1,1 whole Chicken; 1 chopped Tomato; 2 chopped Onions; 2 chopped Garlic Clove; 1 chopped Red Pepper; 1 chopped Carrots; 1 Lime; 2 tsp Thyme; 1 tsp Allspice; 2 tbs Soy Sauce; 2 tsp Cornstarch; 2 cups Coconut Milk; 1 tbs Vegetable Oil,"Squeeze lime over chicken and rub well. Drain off excess lime juice.
Combine tomato, scallion, onion, garlic, pepper, thyme, pimento and soy sauce in a large bowl with the chicken pieces. Cover and marinate at least one hour.
Heat oil in a dutch pot or large saucepan. Shake off the seasonings as you remove each piece of chicken from the marinade. Reserve the marinade for sauce.
Lightly brown the chicken a few pieces at a time in very hot oil. Place browned chicken pieces on a plate to rest while you brown the remaining pieces.
Drain off excess oil and return the chicken to the pan. Pour the marinade over the chicken and add the carrots. Stir and cook over medium heat for 10 minutes.
Mix flour and coconut milk and add to stew, stirring constantly. Turn heat down to minimum and cook another 20 minutes or until tender.",42
